shower:number_of_pixel,shower:width,shower:length,shower:delta,shower:psi,shower:skewness,shower:kurtosis,shower:phi,shower:miss,shower:r,shower:cog:x,shower:cog:y,shower:size,array:num_triggered_telescopes
115,0.30165529105172767,0.45789288391534017,-1.4616019921895904,-1.4616019921895904,-0.16748422591418635,3.4653327686476927,1.5550693617690412,0.020403774781407594,0.1637586189163553,0.002575319907149003,0.16373836751588774,2592.115170408328,3
97,0.34948099899457447,0.3723604801190257,-1.077582127701846,-1.077582127701846,-0.09755842272887594,2.992405264463497,0.345906482533226,0.07617505985308665,0.07700908178067492,0.07244771809304427,0.026109898885546507,2017.742242494097,3
89,0.34519469705110034,0.427572688723475,1.3654816988168395,1.3654816988168395,0.47179740583002844,3.514380974368901,0.2963347968823599,0.0936046170742488,0.10675823614074613,0.10210498747418,0.031175190725653314,1711.0654569140297,3
122,0.39153123449676314,0.4415231219229707,-0.2644296895462577,-0.2644296895462577,-9.315735806724886E-4,3.5142114396933852,0.04679689689633592,0.014252085859271214,0.0465409905540999,0.04649003864275518,0.0021771790812762093,2385.5795154249295,2
3,0.001995991338037934,0.007838364358827125,-0.6511312942847685,-0.6511312942847685,1.4317165535151155,2.066025161043186,-0.6575057802721723,2.571077826511023E-4,0.04033415782701369,0.03192525310551733,-0.024650000035762787,45.7080899782817,2
48,0.27339501529393484,0.2737848534924943,-0.8253641605791799,-0.8253641605791799,-0.5885732652489892,5.686420544831668,-2.5031422738687956,0.06788581999563136,0.06827616132829253,-0.05482713813396141,-0.04068929994195702,944.5195573680853,7
23,0.2929384364598301,0.35344188640628954,-0.1567963899592465,-0.1567963899592465,0.7021950148176133,4.786869542256108,-0.7086704540777944,0.1100894044919715,0.20998047887356758,0.15942302717955328,-0.13666052799868794,446.53638868104235,7
129,0.36276126311775064,0.39453507100058016,1.4496337783803164,1.4496337783803164,0.1864178259990753,3.8477657558852467,2.2875459139983567,0.04346263487166322,0.05847663120874082,-0.03841549273658322,0.04408816525246432,2525.7054360735174,7
109,0.3480824324687175,0.43556219711599786,1.4393565108123676,1.4393565108123676,0.17533106796412762,3.332014577159891,3.131904292872281,0.012217175805581897,0.012308288618353034,-0.012307710968218269,1.1924527444972349E-4,2081.5222077063677,7
130,0.37697316187373897,0.40613966952176483,-0.12116967523592859,-0.12116967523592859,-0.14527176742859102,3.573288212294496,-0.6039590442466497,0.024596034278149926,0.05297997439150002,0.0436074835745058,-0.030087623083640304,2639.7908302228993,7
127,0.3357033792341967,0.33641916361086976,-0.7288096691565555,-0.7288096691565555,-0.48684511445924555,4.379266728218685,-1.0930872193462342,0.04217965419022544,0.11839093922527846,0.05442975547733309,-0.10513713049784698,2852.3285183833677,7
112,0.35024914307175387,0.3547934618552594,-0.9263797252577194,-0.9263797252577194,0.1040173888763465,3.817527665209107,0.1753638199462341,0.07248306988779665,0.0812593320603059,0.08001306822557393,0.014177022254927531,2234.175260993901,7
2,0.001062635270647656,0.01219044415478652,0.6104077492874577,0.6104077492874577,1.4179366325008609,2.0137414139136043,0.611693423542447,6.436713288146432E-5,0.05006489813758939,0.04098696738645852,0.02875000052154064,60.558164594183786,2
2,0.0017829937079406597,0.004174132175066347,0.9842815909315544,0.9842815909315544,1.4420913034442113,2.101760419803237,1.005810603168372,2.9948788641298026E-4,0.013911972352806572,0.007448522282979426,0.011749999597668648,38.771779586934336,2
119,0.3600740622362124,0.3766483909647928,0.5322987978722782,0.5322987978722782,0.19697952904757068,3.607461187628385,-1.4765509836615685,0.04266264239573258,0.04711089768277511,0.004433412844757016,-0.04690182865331424,2420.835485398524,2
86,0.38823942304851083,0.39945322517448734,-0.9840217887498313,-0.9840217887498313,-0.13538462964690484,3.573196364914765,0.9242309609383975,0.03429139663439744,0.03634103596761132,0.02189360569303464,0.0290058774209149,1784.6334639749002,2
107,0.4082323745640535,0.413944174549191,-0.47824585094357613,-0.47824585094357613,0.18256751948600283,4.02804779317118,-0.42507425923324177,0.0037509174297934568,0.07057688769290908,0.06429611719503958,-0.02910509216716615,2210.6225001569865,2
105,0.3805380153727275,0.39337511828103666,0.5601566767160897,0.5601566767160897,-0.24167797414511907,3.448562530784258,2.6486463713897024,0.03902311577545916,0.04490768449007142,-0.039561084896234826,0.021251369087489442,1954.2742339214572,2
95,0.3920796505838658,0.41808463256161893,0.4978062649613682,0.4978062649613682,-0.13908639245541313,3.527269671449993,0.16287870413867162,0.03089128265659145,0.09397995601290524,0.09273609027148332,0.015239740593162963,1939.442853052455,2
96,0.328403835903246,0.3570591152515843,1.0355308319243193,1.0355308319243193,0.007402163868443663,3.5780592289144635,-1.3540780659835816,0.005886664653661923,0.008617713696125278,0.0018530308918227525,-0.008416131288325758,1818.6357089743308,2
44,0.21272289053808022,0.35879829614212183,0.27272548227812365,0.27272548227812365,-0.7501817974353757,3.5364538497073608,-2.6859117806564283,0.040543732179416696,0.2228455962587498,-0.20010678861414688,-0.0980685113706273,829.1943023118364,3
111,0.3890289886338024,0.38923400496868227,-0.8245477954979653,-0.8245477954979653,-0.18824497713046076,3.8481552832748744,-0.15756591432988634,0.032708147024582024,0.05287297444297713,0.05221799210447171,-0.008296549103394939,2071.800504523007,3
130,0.35150058766138637,0.3682797689612762,-0.5897839919843656,-0.5897839919843656,-0.18133129480267013,3.5813341588561736,-2.908730793335534,0.011267464894804444,0.015372795750578955,-0.014957883513678067,-0.0035474737462391805,2375.879057042042,3
18,0.017944184240402856,0.0354526844861832,0.47454693246251695,0.47454693246251695,-1.4945010072378495,2.280524781270506,-2.597836997626794,0.005309396778959399,0.0767769930343819,-0.06570357931156855,-0.039720855039260525,413.8865648033306,5
2,0.007422945773488625,0.02550855780708876,0.4734354234729336,0.4734354234729336,-1.4701492994731826,2.208291185926028,-2.6974308209548497,0.0017328412569709028,0.059203149431638326,-0.05345873557353934,-0.02543966378518586,48.73519404939027,5
18,0.00751291734074357,0.045307700126044056,-0.24812397096329172,-0.24812397096329172,-1.44089152908848,2.0996474784201076,2.8807780706117554,9.158630561534335E-4,0.07217048626900704,-0.06972969803979416,0.018610435233601102,383.2952002181486,5
333,0.2559356274098262,0.3853991799115319,-0.283350356311139,-0.283350356311139,-0.6569820558809398,3.297720578438918,2.7475491862410326,0.042205941722792066,0.3820676464618685,-0.35278759575859364,0.14668537333961587,12731.214738893657,5
2,0.027162901804445787,0.027887722467827534,-0.6956088116950039,-0.6956088116950039,-1.5705430515540648,2.5802109901761536,2.2708843667965812,0.010714003519782843,0.061501887597361866,-0.03962474496978227,0.04703574985176965,47.862836937696216,5
84,0.36553286988256467,0.3685338035970247,-0.6285260276781166,-0.6285260276781166,-0.12853113626115645,4.394409752358911,-1.8345551679589434,0.05381207509548907,0.05760188523595797,-0.015017458559841006,-0.05560982935722722,1692.3099472113947,6
116,0.37500459475184084,0.43129273211067526,-0.3640280334249519,-0.3640280334249519,-0.17067249045713587,3.3215084266706034,-1.2180618911971561,0.038414674183434916,0.05095213050476862,0.017602186757557748,-0.04781508783142651,2272.244931010927,6
131,0.3760302760026804,0.3905031220484596,-0.5024813929713532,-0.5024813929713532,0.20159440860173908,4.226184180282848,-0.07297585801335407,0.01576295202592181,0.03785337598566425,0.03775262708901122,-0.0027599314104012253,2728.812109310561,6
111,0.37453092561539725,0.44339675340705814,0.12263384521192716,0.12263384521192716,0.5285696279607804,3.5021314663472,-0.3004828466852136,0.05555389863653871,0.13529790281823706,0.12923570261128103,-0.04004566989802575,2435.6156611768597,6
108,0.39387631727796024,0.40348588651823847,-0.4239165521163119,-0.4239165521163119,0.6627760901749281,3.719529222957587,0.7043433508478523,0.01969134547439284,0.02179045507151408,0.016605131233171234,0.014110051344797963,2117.5428091832905,6
3,0.019337576332819364,0.03731225771899133,-0.41831328914370397,-0.41831328914370397,1.4678502197449015,2.1911056788301204,-0.4062774083664554,8.623613687131878E-4,0.07165094151828985,0.06581843483176758,-0.028315915255448798,89.63768830728344,6
6,0.00589380949078947,0.009772874041193954,-0.8621388065097936,-0.8621388065097936,1.5225870604725285,2.392884549354831,-0.8364375254402486,0.0018126492246971577,0.07053534781060149,0.04726653763396234,-0.052355608208287926,121.80449065497947,2
125,0.3696387543367777,0.3723897296008814,-0.6859651563136641,-0.6859651563136641,0.38675409161278096,3.4122288173921316,-0.3909035294867197,0.03451363873566225,0.11868562402667267,0.10973259426498404,-0.045222064376552865,2449.874622586428,2
96,0.3705071931442579,0.39599637955388994,1.3065785506746925,1.3065785506746925,0.10625998990834278,3.3003904177755405,-0.1857808021705483,0.0314242186700416,0.03152113363002071,0.030978728212168474,-0.0058223932947044765,1891.196482999268,2
115,0.3311825069629405,0.37400524527153894,-1.0807345584442485,-1.0807345584442485,0.47140389044924275,3.2058619492176414,-0.9664030024903697,0.008284250408766486,0.07261622667578481,0.0412651133373227,-0.059752044298809336,2287.4385058227813,2
96,0.333118880603304,0.333310887847179,-0.8018785427799219,-0.8018785427799219,0.39042601140695565,3.2495561226754783,-0.5854383088670188,0.02796355794526544,0.13021187659112038,0.10852768912670173,-0.07195049338398696,2129.7174259630006,7
130,0.306405504922251,0.3981667637204095,-0.2690593559949755,-0.2690593559949755,0.40326783608040356,3.649079126295184,-0.4105240038703808,0.029705187050399984,0.21068512332897743,0.19317968073893296,-0.08408229386589282,2958.8396443183146,7
129,0.33945003217210334,0.3394535859245818,-0.7887904221277549,-0.7887904221277549,0.1069043597613196,4.130538953898257,-1.5620985754664194,0.06802656376153673,0.09738860710812598,8.470512067310515E-4,-0.09738492336452344,2495.8423787777233,7
108,0.37508498577495103,0.3752552668545243,-0.8133712446022744,-0.8133712446022744,0.21492295257546024,3.8161430299439245,-0.040954684866688594,0.030645535128405833,0.043913077672093175,0.04387625541944831,-0.001797943548229583,2202.084533658537,7
120,0.37232265193515074,0.44694206804126474,-0.16626279674846728,-0.16626279674846728,0.0804065770137915,3.3137102196345225,-0.7560494469405902,0.02228207048239267,0.040062427776764484,0.029147498179098428,-0.027484931676610085,2508.1284306944667,7
87,0.3696142480137663,0.3867024168193706,-0.552209044585674,-0.552209044585674,0.2710117067955708,3.5953051203566946,-1.1354048023505163,0.07063568266004677,0.1282666028069716,0.05409841899625581,-0.1162999675741441,1679.2670286545665,7
148,0.3526964814608226,0.36299714090952356,-0.988099984940968,-0.988099984940968,0.09020922671970509,3.763211265778685,-0.23680332657042494,0.044560801229500166,0.06528223556482864,0.06346039562031328,-0.01531497528744662,3074.574567036636,7
116,0.3443548923317196,0.3451080836354001,0.7309858497787192,0.7309858497787192,0.19110021972355978,3.2812519785980605,1.2980007763720651,0.0486408700837265,0.09055925296567516,0.02439889603524654,0.08721050492894979,2497.4171290755135,3
