id,position_x,position_y,geom_x,geom_y
0,0.0,0.0,0,0
1,0.05,0.0,1,0
2,0.025,0.0433,0,1
3,-0.025,0.0433,-1,1
4,-0.05,0.0,-1,0
5,-0.025,-0.0433,-1,-1
6,0.025,-0.0433,0,-1
7,-0.125,-0.0433,-3,-1
8,-0.075,-0.0433,-2,-1
9,-0.1,0.0,-2,0
10,-0.15,0.0,-3,0
11,-0.175,-0.0433,-4,-1
12,-0.15,-0.0866,-3,-2
13,-0.1,-0.0866,-2,-2
14,0.125,0.0433,2,1
15,0.175,0.0433,3,1
16,0.15,0.0866,3,2
17,0.1,0.0866,2,2
18,0.075,0.0433,1,1
19,0.1,0.0,2,0
20,0.15,0.0,3,0
21,-0.25,-0.0866,-5,-2
22,-0.2,-0.0866,-4,-2
23,-0.225,-0.0433,-5,-1
24,-0.275,-0.0433,-6,-1
25,-0.3,-0.0866,-6,-2
26,-0.275,-0.1299,-6,-3
27,-0.225,-0.1299,-5,-3
28,0.25,0.0866,5,2
29,0.3,0.0866,6,2
30,0.275,0.1299,5,3
31,0.225,0.1299,4,3
32,0.2,0.0866,4,2
33,0.225,0.0433,4,1
34,0.275,0.0433,5,1
35,-0.375,-0.1299,-8,-3
36,-0.325,-0.1299,-7,-3
37,-0.35,-0.0866,-7,-2
38,-0.4,-0.0866,-8,-2
39,-0.425,-0.1299,-9,-3
40,-0.4,-0.17321,-8,-4
41,-0.35,-0.17321,-7,-4
42,0.375,0.1299,7,3
43,0.425,0.1299,8,3
44,0.4,0.17321,8,4
45,0.35,0.17321,7,4
46,0.325,0.1299,6,3
47,0.35,0.0866,7,2
48,0.4,0.0866,8,2
49,-0.5,-0.17321,-10,-4
50,-0.45,-0.17321,-9,-4
51,-0.475,-0.1299,-10,-3
52,-0.525,-0.1299,-11,-3
53,-0.55,-0.17321,-11,-4
54,-0.525,-0.21650999999999998,-11,-5
55,-0.475,-0.21650999999999998,-10,-5
56,0.5,0.17321,10,4
57,0.55,0.17321,11,4
58,0.525,0.21650999999999998,10,5
59,0.475,0.21650999999999998,9,5
60,0.45,0.17321,9,4
61,0.475,0.1299,9,3
62,0.525,0.1299,10,3
63,-0.625,-0.21650999999999998,-13,-5
64,-0.575,-0.21650999999999998,-12,-5
65,-0.6,-0.17321,-12,-4
66,-0.65,-0.17321,-13,-4
67,-0.675,-0.21650999999999998,-14,-5
68,-0.65,-0.25981,-13,-6
69,-0.6,-0.25981,-12,-6
70,0.625,0.21650999999999998,12,5
71,0.675,0.21650999999999998,13,5
72,0.65,0.25981,13,6
73,0.6,0.25981,12,6
74,0.575,0.21650999999999998,11,5
75,0.6,0.17321,12,4
