id,position_x,position_y,geom_y,geom_x
0,0,0,0,0
1,0.05,0,2,0
2,0.025,0.0433,1,1
3,-0.025,0.0433,-1,1
4,-0.05,0,-2,0
5,-0.025,-0.0433,-1,-1
6,0.025,-0.0433,1,-1
7,-0.125,-0.0433,-5,-1
8,-0.075,-0.0433,-3,-1
9,-0.1,0,-4,0
10,-0.15,0,-6,0
11,-0.175,-0.0433,-7,-1
12,-0.15,-0.0866,-6,-2
13,-0.1,-0.0866,-4,-2
14,0.125,0.0433,5,1
15,0.175,0.0433,7,1
16,0.15,0.0866,6,2
17,0.1,0.0866,4,2
18,0.075,0.0433,3,1
19,0.1,0,4,0
20,0.15,0,6,0
21,-0.25,-0.0866,-10,-2
22,-0.2,-0.0866,-8,-2
23,-0.225,-0.0433,-9,-1
24,-0.275,-0.0433,-11,-1
25,-0.3,-0.0866,-12,-2
26,-0.275,-0.1299,-11,-3
27,-0.225,-0.1299,-9,-3
28,0.25,0.0866,10,2
29,0.3,0.0866,12,2
30,0.275,0.1299,11,3
31,0.225,0.1299,9,3
32,0.2,0.0866,8,2
33,0.225,0.0433,9,1
34,0.275,0.0433,11,1
35,-0.375,-0.1299,-15,-3
36,-0.325,-0.1299,-13,-3
37,-0.35,-0.0866,-14,-2
38,-0.4,-0.0866,-16,-2
39,-0.425,-0.1299,-17,-3
40,-0.4,-0.17321,-16,-4
41,-0.35,-0.17321,-14,-4
42,0.375,0.1299,15,3
43,0.425,0.1299,17,3
44,0.4,0.17321,16,4
45,0.35,0.17321,14,4
46,0.325,0.1299,13,3
47,0.35,0.0866,14,2
48,0.4,0.0866,16,2
49,-0.5,-0.17321,-20,-4
50,-0.45,-0.17321,-18,-4
51,-0.475,-0.1299,-19,-3
52,-0.525,-0.1299,-21,-3
53,-0.55,-0.17321,-22,-4
54,-0.525,-0.21651,-21,-5
55,-0.475,-0.21651,-19,-5
56,0.5,0.17321,20,4
57,0.55,0.17321,22,4
58,0.525,0.21651,21,5
59,0.475,0.21651,19,5
60,0.45,0.17321,18,4
61,0.475,0.1299,19,3
62,0.525,0.1299,21,3
63,-0.625,-0.21651,-25,-5
64,-0.575,-0.21651,-23,-5
65,-0.6,-0.17321,-24,-4
66,-0.65,-0.17321,-26,-4
67,-0.675,-0.21651,-27,-5
68,-0.65,-0.25981,-26,-6
69,-0.6,-0.25981,-24,-6
70,0.625,0.21651,25,5
71,0.675,0.21651,27,5
72,0.65,0.25981,26,6
73,0.6,0.25981,24,6
74,0.575,0.21651,23,5
75,0.6,0.17321,24,4
76,0.65,0.17321,26,4
77,-0.75,-0.25981,-30,-6
78,-0.7,-0.25981,-28,-6
79,-0.725,-0.21651,-29,-5
80,-0.775,-0.21651,-31,-5
81,-0.8,-0.25981,-32,-6
82,-0.775,-0.30311,-31,-7
83,-0.725,-0.30311,-29,-7
84,0.75,0.25981,30,6
85,0.8,0.25981,32,6
86,0.775,0.30311,31,7
87,0.725,0.30311,29,7
88,0.7,0.25981,28,6
89,0.725,0.21651,29,5
90,0.775,0.21651,31,5
91,-0.875,-0.30311,-35,-7
92,-0.825,-0.30311,-33,-7
93,-0.85,-0.25981,-34,-6
94,-0.9,-0.25981,-36,-6
95,-0.925,-0.30311,-37,-7
96,-0.9,-0.34641,-36,-8
97,-0.85,-0.34641,-34,-8
98,0.875,0.30311,35,7
99,0.925,0.30311,37,7
100,0.9,0.34641,36,8
101,0.85,0.34641,34,8
102,0.825,0.30311,33,7
103,0.85,0.25981,34,6
104,0.9,0.25981,36,6
105,-1,-0.34641,-40,-8
106,-0.95,-0.34641,-38,-8
107,-0.975,-0.30311,-39,-7
108,-1.025,-0.30311,-41,-7
109,-1.05,-0.34641,-42,-8
110,-1.025,-0.38971,-41,-9
111,-0.975,-0.38971,-39,-9
112,1,0.34641,40,8
113,1.05,0.34641,42,8
114,1.025,0.38971,41,9
115,0.975,0.38971,39,9
116,0.95,0.34641,38,8
117,0.975,0.30311,39,7
118,1.025,0.30311,41,7
119,-0.025,-0.1299,-1,-3
120,0.025,-0.1299,1,-3
121,0,-0.0866,0,-2
