x,y,z,fiducial_radius,id,type
50.0,50.0,16.00,12.50,1,1
-50.0,50.0,16.00,12.50,2,1
36.6,0.0,16.00,12.50,3,1
50.0,-50.0,16.00,12.50,4,1
-50.0,-50.0,16.00,12.50,5,1
100.0,0.0,10.00,7.00,6,2
141.1,0.0,10.00,7.00,7,2
384.4,0.0,10.00,7.00,8,2
679.9,0.0,10.00,7.00,9,2
-100.0,0.0,10.00,7.00,10,2
-141.1,0.0,10.00,7.00,11,2
-384.4,-0.0,10.00,7.00,12,2
-679.9,-0.0,10.00,7.00,13,2
0.0,55.4,10.00,7.00,14,2
298.4,66.9,10.00,7.00,15,2
-298.4,66.9,10.00,7.00,16,2
-0.0,-55.4,10.00,7.00,17,2
298.4,-66.9,10.00,7.00,18,2
-298.4,-66.9,10.00,7.00,19,2
130.3,126.3,10.00,7.00,20,2
-130.3,126.3,10.00,7.00,21,2
-0.0,186.5,10.00,7.00,22,2
100.3,198.9,10.00,7.00,23,2
-100.2,198.9,10.00,7.00,24,2
270.0,206.9,10.00,7.00,25,2
-270.0,206.9,10.00,7.00,26,2
711.2,273.6,10.00,7.00,27,2
-711.2,273.6,10.00,7.00,28,2
139.9,283.7,10.00,7.00,29,2
-139.9,283.7,10.00,7.00,30,2
396.7,299.2,10.00,7.00,31,2
-396.7,299.2,10.00,7.00,32,2
-0.0,340.7,10.00,7.00,33,2
655.5,562.6,10.00,7.00,34,2
-655.5,562.6,10.00,7.00,35,2
126.2,607.3,10.00,7.00,36,2
-126.2,607.3,10.00,7.00,37,2
380.2,647.0,10.00,7.00,38,2
-380.2,647.0,10.00,7.00,39,2
130.3,-126.3,10.00,7.00,40,2
-130.3,-126.3,10.00,7.00,41,2
-0.0,-186.5,10.00,7.00,42,2
-99.8,-198.7,10.00,7.00,43,2
100.5,-199.0,10.00,7.00,44,2
270.0,-206.9,10.00,7.00,45,2
-270.0,-206.9,10.00,7.00,46,2
711.2,-273.6,10.00,7.00,47,2
-711.2,-273.6,10.00,7.00,48,2
139.9,-283.7,10.00,7.00,49,2
-139.9,-283.7,10.00,7.00,50,2
396.7,-299.2,10.00,7.00,51,2
-396.7,-299.2,10.00,7.00,52,2
0.0,-340.7,10.00,7.00,53,2
655.5,-562.6,10.00,7.00,54,2
-655.5,-562.6,10.00,7.00,55,2
126.2,-607.3,10.00,7.00,56,2
-126.2,-607.3,10.00,7.00,57,2
380.2,-647.0,10.00,7.00,58,2
-380.2,-647.0,10.00,7.00,59,2
-0.0,0.0,7.00,4.35,60,3
260.3,0.0,7.00,4.35,61,3
550.7,0.0,7.00,4.35,62,3
-875.2,0.0,7.00,4.35,63,3
875.2,-0.0,7.00,4.35,64,3
-260.3,-0.0,7.00,4.35,65,3
-550.7,-0.0,7.00,4.35,66,3
130.1,225.4,7.00,4.35,67,3
-130.1,225.4,7.00,4.35,68,3
419.0,241.9,7.00,4.35,69,3
-419.0,241.9,7.00,4.35,70,3
756.2,274.8,7.00,4.35,71,3
-756.2,274.8,7.00,4.35,72,3
275.4,476.9,7.00,4.35,73,3
-275.4,476.9,7.00,4.35,74,3
0.0,483.8,7.00,4.35,75,3
616.1,517.5,7.00,4.35,76,3
-616.1,517.5,7.00,4.35,77,3
437.6,758.0,7.00,4.35,78,3
-437.6,758.0,7.00,4.35,79,3
140.1,792.3,7.00,4.35,80,3
-140.1,792.3,7.00,4.35,81,3
130.1,-225.4,7.00,4.35,82,3
-130.1,-225.4,7.00,4.35,83,3
419.0,-241.9,7.00,4.35,84,3
-419.0,-241.9,7.00,4.35,85,3
756.2,-274.8,7.00,4.35,86,3
-756.2,-274.8,7.00,4.35,87,3
275.4,-476.9,7.00,4.35,88,3
-275.4,-476.9,7.00,4.35,89,3
-0.0,-483.8,7.00,4.35,90,3
616.1,-517.5,7.00,4.35,91,3
-616.1,-517.5,7.00,4.35,92,3
437.6,-758.0,7.00,4.35,93,3
-437.6,-758.0,7.00,4.35,94,3
140.1,-792.3,7.00,4.35,95,3
-140.1,-792.3,7.00,4.35,96,3
-0.0,128.3,5.00,2.80,97,4
1288.4,134.6,5.00,2.80,98,4
-1288.4,134.6,5.00,2.80,99,4
869.5,139.1,5.00,2.80,100,4
-869.5,139.1,5.00,2.80,101,4
539.9,142.8,5.00,2.80,102,4
-539.9,142.8,5.00,2.80,103,4
257.0,143.1,5.00,2.80,104,4
-257.0,143.1,5.00,2.80,105,4
1274.9,410.2,5.00,2.80,106,4
-1274.9,410.2,5.00,2.80,107,4
0.0,424.6,5.00,2.80,108,4
864.0,425.5,5.00,2.80,109,4
-864.0,425.5,5.00,2.80,110,4
541.3,439.9,5.00,2.80,111,4
-541.3,439.9,5.00,2.80,112,4
261.2,444.9,5.00,2.80,113,4
-261.2,444.9,5.00,2.80,114,4
1223.8,704.1,5.00,2.80,115,4
-1223.8,704.1,5.00,2.80,116,4
830.6,739.9,5.00,2.80,117,4
-830.6,739.9,5.00,2.80,118,4
0.0,770.8,5.00,2.80,119,4
528.8,777.4,5.00,2.80,120,4
-528.8,777.4,5.00,2.80,121,4
257.3,790.8,5.00,2.80,122,4
-257.3,790.8,5.00,2.80,123,4
0.0,-128.3,5.00,2.80,124,4
1288.4,-134.6,5.00,2.80,125,4
-1288.4,-134.6,5.00,2.80,126,4
869.5,-139.1,5.00,2.80,127,4
-869.5,-139.1,5.00,2.80,128,4
539.9,-142.8,5.00,2.80,129,4
